session_id,label,f1,f2,f3,f4,f5,roll,pitch,yaw,gx,gy,gz
pronoun1,We,371,193,0,0,141,11432,12228,1872,-2602,-3961,108
pronoun1,We,787,251,0,0,122,13820,11044,-28,36,-1207,87
pronoun1,We,865,289,0,0,86,-2688,10632,26956,-2637,-6463,1666
pronoun1,We,964,379,0,0,138,12680,10192,1448,-253,2501,528
pronoun1,We,726,278,0,0,128,12636,10036,3132,-1679,1492,1072
pronoun1,We,699,112,0,0,146,12764,10020,2724,82,-644,-692
pronoun1,We,723,135,0,0,9,13044,10428,1992,-335,-152,186
pronoun1,We,768,115,0,0,16,13748,11404,2120,-1648,30,454
pronoun1,We,784,100,0,0,154,12756,10980,1752,-521,1231,1166
pronoun1,We,737,118,0,0,197,12388,7812,3536,-240,1769,876
pronoun1,We,798,116,0,0,209,12672,9892,2972,-550,-738,110
pronoun1,We,811,118,0,0,219,12872,9928,3456,-300,-262,244
pronoun1,We,816,118,0,0,222,12804,10888,3108,-1485,-1256,-342
pronoun1,We,833,144,0,0,210,12656,10716,2784,-1619,-1753,-95
pronoun1,We,796,69,0,0,183,12924,10056,2748,-1394,-2257,-245
pronoun1,We,832,80,0,0,233,13232,9916,1888,-1115,-1547,-381
pronoun1,We,855,77,0,0,226,13296,10448,2204,-371,176,-12
pronoun1,We,839,71,0,0,250,12720,9736,2024,1637,980,789
pronoun1,We,835,75,0,0,265,12948,10212,2224,1846,1602,1163
pronoun1,We,846,75,0,0,254,13056,10064,2504,2469,1340,652
pronoun1,We,871,135,0,0,241,12812,10472,2616,1736,809,-536
pronoun1,We,848,158,0,0,270,12852,10316,2712,-122,-388,-173
pronoun1,We,825,198,0,0,252,12584,10168,2960,-1766,-1541,-1046
pronoun1,We,827,205,0,0,265,12404,11084,2084,-1770,-2830,-1130
pronoun1,We,781,222,0,0,246,12484,10964,796,-1838,-2656,-778
pronoun1,We,793,224,0,0,253,12460,10884,580,-1191,-546,-492
pronoun1,We,780,208,0,0,235,12372,10944,904,485,923,-151
pronoun1,We,784,192,0,0,229,12372,11208,732,1806,2424,50
