session_id,label,flex1,flex2,flex3,flex4,flex5,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
gesture1,Hello,0,0,0,0,0,20484,6144,3424,1550,-2550,-3307
gesture1,Hello,0,0,0,0,0,20624,6716,3384,1870,-1672,-2285
gesture1,Hello,0,0,0,0,0,20564,7188,3244,2099,-771,-1246
gesture1,Hello,0,0,0,0,0,20424,7464,3236,2150,174,-162
gesture1,Hello,0,0,0,0,0,20392,7732,3236,2119,1202,923
gesture1,Hello,0,0,0,0,0,20000,7844,3016,2104,2285,2027
gesture1,Hello,0,0,0,0,0,19684,7844,3248,2009,3364,3113
gesture1,Hello,0,0,0,0,0,19184,7668,3288,1736,4377,4099
gesture1,Hello,0,0,0,0,0,18576,7472,3500,1449,5315,5052
gesture1,Hello,0,0,0,0,0,18272,7056,3700,1231,6249,5959
gesture1,Hello,0,0,0,0,0,17952,6520,3792,1081,7128,6678
gesture1,Hello,0,0,0,0,0,17432,6164,4032,1088,8009,7240
gesture1,Hello,0,0,0,0,0,16948,5596,4376,1205,8823,7702
gesture1,Hello,0,0,0,0,0,16352,5272,4748,1434,9534,8041
gesture1,Hello,0,0,0,0,0,15904,4776,5108,1692,10207,8415
gesture1,Hello,0,0,0,0,0,15340,4404,5496,1914,10797,8747
gesture1,Hello,0,0,0,0,0,14848,4092,5868,2199,11283,9040
gesture1,Hello,0,0,0,0,0,14308,3988,6212,2370,11669,9323
gesture1,Hello,0,0,0,0,0,13880,3996,6632,2660,11853,9604
gesture1,Hello,0,0,0,0,0,13476,4068,7124,2822,12254,9796
gesture1,Hello,0,0,0,0,0,13124,3868,7404,2928,12285,9949
gesture1,Hello,0,0,0,0,0,12700,3800,7748,3131,12647,10099
gesture1,Hello,0,0,0,0,0,12376,3520,8080,3219,12649,10174
gesture1,Hello,0,0,0,0,0,12100,3304,8272,3459,12761,10250
gesture1,Hello,0,0,0,0,0,11808,2984,8620,3773,12864,10286
gesture1,Hello,0,0,0,0,0,11532,2820,9192,4044,12841,10268
gesture1,Hello,0,0,0,0,0,11324,2784,9452,4365,12861,10318
gesture1,Hello,0,0,0,0,0,11172,2584,9836,4621,12899,10325
